"","Suburb","Population.density.2015","year","population","POSTCODE"
"127","BAYSWATER NORTH",1212.9,2011,11819,3153
"128","BAYSWATER NORTH",1212.9,2012,11839,3153
"129","BAYSWATER NORTH",1212.9,2009,11770,3153
"130","BAYSWATER NORTH",1212.9,2010,11819,3153
"131","BAYSWATER NORTH",1212.9,2015,12019,3153
"132","BAYSWATER NORTH",1212.9,2007,11353,3153
"133","BEAUMARIS",2322.9,2011,13375,3193
"134","BEAUMARIS",2322.9,2015,13863,3193
"135","BEAUMARIS",2322.9,2009,13264,3193
"136","BEAUMARIS",2322.9,2012,13428,3193
"137","BEAUMARIS",2322.9,2007,12877,3193
"138","BEAUMARIS",2322.9,2006,12767,3193
"139","BEAUMARIS",2322.9,2008,13123,3193
"140","BEAUMARIS",2322.9,2014,13702,3193
"141","BEAUMARIS",2322.9,2005,12721,3193
"142","BEAUMARIS",2322.9,2010,13351,3193
"143","BEAUMARIS",2322.9,2013,13539,3193
"144","BELMONT",1516.2,2006,13631,3216
"145","BELMONT",1516.2,2008,13666,3216
"146","BELMONT",1516.2,2011,13910,3216
"147","BELMONT",1516.2,2012,13971,3216
"148","BELMONT",1516.2,2013,13962,3216
"149","BELMONT",1516.2,2005,13683,3216
"150","BELMONT",1516.2,2010,13805,3216
"151","BELMONT",1516.2,2015,14205,3216
"152","BELMONT",1516.2,2007,13630,3216
"153","BELMONT",1516.2,2014,14111,3216
"154","BELMONT",1516.2,2009,13705,3216
"155","BENDIGO",929,2015,14841,3550
"156","BENDIGO",929,2007,14855,3550
"157","BENDIGO",929,2011,14811,3550
"158","BENDIGO",929,2008,14784,3550
"159","BENDIGO",929,2009,14763,3550
"160","BENDIGO",929,2010,14752,3550
"161","BENDIGO",929,2013,14779,3550
"162","BENDIGO",929,2006,14903,3550
"163","BENDIGO",929,2005,15016,3550
"164","BENDIGO",929,2012,14836,3550
"165","BENDIGO",929,2014,14841,3550
"166","BLACKBURN",2518.5,2005,19210,3130
"167","BLACKBURN",2518.5,2007,19534,3130
"168","BLACKBURN",2518.5,2013,21137,3130
"169","BLACKBURN",2518.5,2014,21290,3130
"170","BLACKBURN",2518.5,2015,21677,3130
"171","BLACKBURN",2518.5,2011,20635,3130
"172","BLACKBURN",2518.5,2012,20849,3130
"173","BLACKBURN",2518.5,2006,19317,3130
"174","BLACKBURN",2518.5,2010,20490,3130
"175","BLACKBURN",2518.5,2008,19999,3130
"176","BLACKBURN",2518.5,2009,20332,3130
"177","BLACKBURN SOUTH",3115,2008,10760,3130
"178","BLACKBURN SOUTH",3115,2011,10975,3130
"179","BLACKBURN SOUTH",3115,2005,10530,3130
"180","BLACKBURN SOUTH",3115,2013,11071,3130
"181","BLACKBURN SOUTH",3115,2015,11204,3130
"182","BLACKBURN SOUTH",3115,2010,10958,3130
"183","BLACKBURN SOUTH",3115,2009,10873,3130
"184","BLACKBURN SOUTH",3115,2012,10985,3130
"185","BLACKBURN SOUTH",3115,2014,11166,3130
"186","BLACKBURN SOUTH",3115,2007,10668,3130
"187","BLACKBURN SOUTH",3115,2006,10588,3130
"188","BOX HILL",2832,2013,19088,3128
"189","BOX HILL",2832,2008,17414,3128
"190","BOX HILL",2832,2009,17965,3128
"191","BOX HILL",2832,2006,16476,3128
"192","BOX HILL",2832,2014,19484,3128
"193","BOX HILL",2832,2011,18240,3128
"194","BOX HILL",2832,2005,16109,3128
"195","BOX HILL",2832,2015,19859,3128
"196","BOX HILL",2832,2010,18218,3128
"197","BOX HILL",2832,2007,17012,3128
"198","BOX HILL",2832,2012,18635,3128
"199","BOX HILL NORTH",2914.1,2009,16973,3129
"200","BOX HILL NORTH",2914.1,2005,16038,3129
"201","BOX HILL NORTH",2914.1,2010,17051,3129
