Suburb,Population density 2015,year,population
GLEN WAVERLEY - EAST,2383.5,2006,21180
GLEN WAVERLEY - WEST,2644.6,2006,18359
MOUNT WAVERLEY - NORTH,2516.5,2006,14722
MOUNT WAVERLEY - SOUTH,2165.1,2006,16737
MULGRAVE,1837.1,2006,16866
OAKLEIGH - HUNTINGDALE,2203.7,2006,19701
WHEELERS HILL,1977.7,2006,20627
ARDEER - ALBION,1695,2006,6556
CAIRNLEA,2330.1,2006,6322
DEER PARK - DERRIMUT,1253.4,2006,14072
DELAHEY,2508.1,2006,9049
KEILOR DOWNS,1805.4,2006,14543
KINGS PARK (VIC.),3235.1,2006,14656
ST ALBANS - NORTH,3099.4,2006,18746
ST ALBANS - SOUTH,2757.3,2006,15963
SUNSHINE,2103,2006,8345
SUNSHINE NORTH,1464.4,2006,10505
SUNSHINE WEST,1452.4,2006,16450
SYDENHAM,3145.9,2006,11187
TAYLORS LAKES,1006,2006,18900
ALTONA,749,2006,11857
ALTONA MEADOWS,1847,2006,19411
ALTONA NORTH,898.4,2006,12844
NEWPORT,2062.8,2006,15474
SEABROOK,3236.6,2006,5156
WILLIAMSTOWN,2127.1,2006,14751
BRAYBROOK,2456.2,2006,13482
FOOTSCRAY,3299.1,2006,11828
MARIBYRNONG,2283.9,2006,8550
SEDDON - KINGSVILLE,5487.9,2006,8301
WEST FOOTSCRAY - TOTTENHAM,1948.5,2006,10152
YARRAVILLE,2726.5,2006,13205
BACCHUS MARSH,101.5,2006,15595
CAROLINE SPRINGS,2704.5,2006,15993
HILLSIDE,283.8,2006,14034
MELTON,152.8,2006,15220
MELTON SOUTH,202.6,2006,12217
MELTON WEST,704,2006,10565
ROCKBANK - MOUNT COTTRELL,24.4,2006,2386
TAYLORS HILL,3057.9,2006,8253
HOPPERS CROSSING - NORTH,1800.9,2006,19406
HOPPERS CROSSING - SOUTH,2757,2006,19577
LAVERTON,350,2006,4551
POINT COOK,1277.6,2006,14540
TARNEIT,546.5,2006,7740
TRUGANINA,741.8,2006,3128
WERRIBEE,241.7,2006,29683
WERRIBEE - SOUTH,104.8,2006,10291
WYNDHAM VALE,181.6,2006,10658
CARRUM DOWNS,1034.8,2006,17550
FRANKSTON,1975.1,2006,21540
FRANKSTON NORTH,1477.9,2006,19105
FRANKSTON SOUTH,1275.6,2006,17722
LANGWARRIN,628.3,2006,21236
SEAFORD (VIC.),1367.1,2006,15892
DROMANA,236.3,2006,8636
FLINDERS,18.9,2006,5961
HASTINGS - SOMERS,198.8,2006,18829
MORNINGTON,1155.6,2006,21497
MOUNT ELIZA,788.8,2006,17094
MOUNT MARTHA,633.7,2006,15245
POINT NEPEAN,246.2,2006,16542
ROSEBUD - MCCRAE,886.4,2006,18329
SOMERVILLE,153,2006,17184
ALFREDTON,191.5,2006,6761
BALLARAT,1002.2,2006,12356
BALLARAT - NORTH,257,2006,21279
BALLARAT - SOUTH,757.8,2006,20534
BUNINYONG,139.7,2006,6037
DELACOMBE,194.7,2006,5041
SMYTHES CREEK,38.6,2006,3542
WENDOUREE - MINERS REST,219.7,2006,12963
BACCHUS MARSH REGION,5.7,2006,5070
CRESWICK - CLUNES,8.7,2006,7316
DAYLESFORD,9.6,2006,8046
GORDON (VIC.),6.6,2006,5371
AVOCA,1.9,2006,3294
BEAUFORT,2.2,2006,3838
GOLDEN PLAINS - NORTH,4.5,2006,3956
MARYBOROUGH (VIC.),169.9,2006,7574
MARYBOROUGH REGION,3.1,2006,5073
BENDIGO,929,2006,14903
CALIFORNIA GULLY - EAGLEHAWK,341.7,2006,9683
EAST BENDIGO - KENNINGTON,799.9,2006,13476
FLORA HILL - SPRING GULLY,709.8,2006,9173
KANGAROO FLAT - GOLDEN SQUARE,482.8,2006,17317
MAIDEN GULLY,117.2,2006,3514
STRATHFIELDSAYE,147.2,2006,5597
WHITE HILLS - ASCOT,156.2,2006,7141
BENDIGO REGION - SOUTH,8.7,2006,5695
CASTLEMAINE,120.1,2006,9626
CASTLEMAINE REGION,5.5,2006,7909
HEATHCOTE,5.6,2006,3962
KYNETON,17,2006,8243
WOODEND,32.1,2006,6120
BENDIGO REGION - NORTH,3,2006,4073
LODDON,1.1,2006,7513
BANNOCKBURN,30.4,2006,3587
GOLDEN PLAINS - SOUTH,4.5,2006,5581
WINCHELSEA,6.2,2006,5508
BELMONT,1516.2,2006,13631
CORIO - NORLANE,330.1,2006,25684
GEELONG,1011.2,2006,11996
GEELONG WEST - HAMLYN HEIGHTS,615.7,2006,18504
GROVEDALE,399.4,2006,17529
HIGHTON,542.1,2006,17726
LARA,29.8,2006,14684
LEOPOLD,429.8,2006,9067
NEWCOMB - MOOLAP,344,2006,14676
NEWTOWN (VIC.),1793,2006,9827
NORTH GEELONG - BELL PARK,678.9,2006,13834
CLIFTON SPRINGS,197.7,2006,11036
LORNE - ANGLESEA,10.8,2006,4799
OCEAN GROVE - BARWON HEADS,134.5,2006,16817
PORTARLINGTON,99.5,2006,5681
QUEENSCLIFF,66.7,2006,4130
TORQUAY,144.3,2006,11758
ALEXANDRA,3,2006,6271
EUROA,2.9,2006,6019
KILMORE - BROADFORD,28.6,2006,10406
MANSFIELD (VIC.),2.2,2006,7601
NAGAMBIE,2.9,2006,3424
SEYMOUR,80,2006,6570
SEYMOUR REGION,2.6,2006,4147
UPPER YARRA VALLEY,0.3,2006,187
YEA,2.3,2006,3571
BENALLA,32.4,2006,10310
BENALLA REGION,1.6,2006,3445
RUTHERGLEN,7.8,2006,3626
WANGARATTA,315.3,2006,17320
WANGARATTA REGION,2.5,2006,9456
BEECHWORTH,11.8,2006,4180
BRIGHT - MOUNT BEAUTY,1.8,2006,7874
CHILTERN - INDIGO VALLEY,5.6,2006,2952
MYRTLEFORD,8.2,2006,4733
TOWONG,0.9,2006,6083
WEST WODONGA,98.4,2006,14104
WODONGA,84,2006,19491
YACKANDANDAH,6.3,2006,4335
DROUIN,47.1,2006,10734
MOUNT BAW BAW REGION,2.1,2006,5857
TRAFALGAR (VIC.),15,2006,6051
WARRAGUL,50.9,2006,15275
BAIRNSDALE,92.1,2006,12662
BRUTHEN - OMEO,1,2006,7341
LAKES ENTRANCE,46.6,2006,8759
ORBOST,0.6,2006,6865
PAYNESVILLE,14.6,2006,5074
FOSTER,5.4,2006,8170
FRENCH ISLAND,0.7,2006,92
KORUMBURRA,15,2006,8246
LEONGATHA,13.5,2006,10029
PHILLIP ISLAND,100.7,2006,8303
WILSONS PROMONTORY,0,2006,13
WONTHAGGI - INVERLOCH,29.9,2006,18359
CHURCHILL,14.9,2006,11218
MOE - NEWBOROUGH,154.4,2006,16915
MORWELL,163.5,2006,13936
TRARALGON,179.3,2006,23844
YALLOURN NORTH - GLENGARRY,13,2006,4479
ALPS - WEST,0,2006,25
LONGFORD - LOCH SPORT,2.4,2006,3685
MAFFRA,5.3,2006,13076
ROSEDALE,4.9,2006,4348
SALE,322.5,2006,13942
YARRAM,2.7,2006,5449
ARARAT,49.3,2006,8105
ARARAT REGION,0.7,2006,3114
HORSHAM,198,2006,15226
HORSHAM REGION,0.8,2006,3570
NHILL REGION,0.6,2006,7550
ST ARNAUD,1.1,2006,3721
STAWELL,3,2006,8370
WEST WIMMERA,0.5,2006,3143
YARRIAMBIACK,0.9,2006,7552
IRYMPLE,73.1,2006,6458
MERBEIN,44.5,2006,4783
MILDURA,432.9,2006,29517
MILDURA REGION,0.2,2006,4182
RED CLIFFS,22.2,2006,5600
BULOKE,0.7,2006,6959
GANNAWARRA,1.7,2006,7205
KERANG,25.8,2006,4190
ROBINVALE,18.8,2006,3837
SWAN HILL,85.4,2006,10090
SWAN HILL REGION,1.1,2006,7039
ECHUCA,79.8,2006,13848
KYABRAM,14.6,2006,10819
LOCKINGTON - GUNBOWER,2.2,2006,4221
ROCHESTER,10.9,2006,3685
RUSHWORTH,2.4,2006,4326
COBRAM,47.9,2006,6037
MOIRA,1.7,2006,2724
NUMURKAH,5.3,2006,12425
YARRAWONGA,81.3,2006,6291
MOOROOPNA,193.6,2006,7808
SHEPPARTON - NORTH,281.8,2006,16523
SHEPPARTON - SOUTH,161.5,2006,19765
SHEPPARTON REGION - EAST,3.7,2006,4015
SHEPPARTON REGION - WEST,9.6,2006,9847
GLENELG (VIC.),1.4,2006,9246
HAMILTON (VIC.),49.5,2006,10334
PORTLAND,167.9,2006,10804
SOUTHERN GRAMPIANS,0.9,2006,6635
CAMPERDOWN,34.2,2006,3566
COLAC,215.9,2006,11519
COLAC REGION,2.7,2006,5663
CORANGAMITE - NORTH,2,2006,5576
CORANGAMITE - SOUTH,3.9,2006,7683
MOYNE - EAST,2,2006,6652
MOYNE - WEST,4.6,2006,8601
OTWAY,2.1,2006,3459
WARRNAMBOOL - NORTH,334,2006,18528
WARRNAMBOOL - SOUTH,109.3,2006,12792
BRUNSWICK,5102.6,2007,22144
BRUNSWICK EAST,4981.9,2007,8058
BRUNSWICK WEST,4589.1,2007,12946
COBURG,3990.4,2007,24772
PASCOE VALE SOUTH,3419.6,2007,9318
ALPHINGTON - FAIRFIELD,3108.7,2007,8189
NORTHCOTE,4219.6,2007,22726
THORNBURY,3863.4,2007,17622
ASCOT VALE,3995.1,2007,13275
ESSENDON - ABERFELDIE,3275.2,2007,24583
FLEMINGTON,6322.1,2007,8661
MOONEE PONDS,3394.4,2007,13287
CARLTON,9783.1,2007,13509
DOCKLANDS,2955.1,2007,4592
EAST MELBOURNE,1865.7,2007,4806
FLEMINGTON RACECOURSE,50.3,2007,68
KENSINGTON,5124.4,2007,9481
MELBOURNE,14114.8,2007,16225
NORTH MELBOURNE,6121.2,2007,14277
PARKVILLE,1820.8,2007,5649
SOUTH YARRA - WEST,4603.7,2007,5837
SOUTHBANK,5923.7,2007,10697
ALBERT PARK,3516.6,2007,13731
ELWOOD,6456.4,2007,14790
PORT MELBOURNE,6098.6,2007,14577
PORT MELBOURNE INDUSTRIAL,2.2,2007,10
SOUTH MELBOURNE,5072.1,2007,9963
ST KILDA,6965.1,2007,22471
ST KILDA EAST,7209,2007,15948
ARMADALE,4475.2,2007,8990
PRAHRAN - WINDSOR,7210.3,2007,17921
SOUTH YARRA - EAST,7936.9,2007,14572
TOORAK,3261.3,2007,13861
ABBOTSFORD,4339.1,2007,4638
CARLTON NORTH - PRINCES HILL,3945.1,2007,8692
COLLINGWOOD,6657.3,2007,5939
FITZROY,8265.8,2007,9596
FITZROY NORTH,5189.9,2007,11725
RICHMOND (VIC.),5030.8,2007,26313
YARRA - NORTH,1771.6,2007,8225
ASHBURTON (VIC.),2925.9,2007,7538
BALWYN,3016.4,2007,15988
BALWYN NORTH,2408.6,2007,20532
CAMBERWELL,3020.5,2007,20339
GLEN IRIS - EAST,3007.1,2007,15804
HAWTHORN,4232.6,2007,20863
HAWTHORN EAST,4129.4,2007,13835
KEW,2468.1,2007,23790
KEW EAST,1642.3,2007,6305
SURREY HILLS (WEST) - CANTERBURY,2935.7,2007,16314
BULLEEN,1754,2007,11013
DONCASTER,2312.1,2007,18717
DONCASTER EAST,2632.9,2007,27743
TEMPLESTOWE,1071,2007,17267
TEMPLESTOWE LOWER,2402.4,2007,13590
BLACKBURN,2518.5,2007,19534
BLACKBURN SOUTH,3115,2007,10668
BOX HILL,2832,2007,17012
BOX HILL NORTH,2914.1,2007,16447
BURWOOD,2407.3,2007,10363
BURWOOD EAST,2515.7,2007,10312
SURREY HILLS (EAST) - MONT ALBERT,3122.3,2007,9832
BEAUMARIS,2322.9,2007,12877
BRIGHTON (VIC.),2901.5,2007,21669
BRIGHTON EAST,3008.5,2007,15460
CHELTENHAM - HIGHETT (WEST),2136.8,2007,10008
HAMPTON,3245.3,2007,16790
SANDRINGHAM - BLACK ROCK,2640.2,2007,15237
BENTLEIGH - MCKINNON,3735.9,2007,20784
BENTLEIGH EAST,3173.9,2007,25592
CARNEGIE,4856.7,2007,16003
CAULFIELD - NORTH,3445.4,2007,19875
CAULFIELD - SOUTH,3850.3,2007,16599
ELSTERNWICK,4127.9,2007,10878
HUGHESDALE,3908.6,2007,7045
MURRUMBEENA,3809.9,2007,8744
ORMOND - GLEN HUNTLY,4644.7,2007,12049
ASPENDALE GARDENS - WATERWAYS,1776.5,2007,7857
BRAESIDE,2.2,2007,15
CARRUM - PATTERSON LAKES,2007.7,2007,11020
CHELSEA - BONBEACH,2621,2007,12268
CHELSEA HEIGHTS,1703,2007,5263
CHELTENHAM - HIGHETT (EAST),2594.2,2007,20271
EDITHVALE - ASPENDALE,2567.6,2007,11803
MENTONE,2971.5,2007,11682
MOORABBIN - HEATHERTON,764,2007,8113
MORDIALLOC - PARKDALE,2532.4,2007,18466
MALVERN - GLEN IRIS,3458.1,2007,19276
MALVERN EAST,2890,2007,20608
BUNDOORA - EAST,2423.5,2007,9447
GREENSBOROUGH,2094.9,2007,20828
HEIDELBERG - ROSANNA,2371.3,2007,13388
HEIDELBERG WEST,2256.4,2007,13385
IVANHOE,2388.8,2007,10947
IVANHOE EAST - EAGLEMONT,1925.3,2007,7923
MONTMORENCY - BRIAR HILL,1365.3,2007,15769
VIEWBANK - YALLAMBIE,1844.3,2007,18501
WATSONIA,2480.7,2007,9174
KINGSBURY,1271.6,2007,9323
PRESTON,2946.1,2007,29150
RESERVOIR - EAST,3034.9,2007,24909
RESERVOIR - WEST,2430.2,2007,22829
ELTHAM,1201.3,2007,23898
HURSTBRIDGE,239.5,2007,3662
KINGLAKE,12.3,2007,4023
PANTON HILL - ST ANDREWS,17.9,2007,5365
PLENTY - YARRAMBAT,329.4,2007,8828
RESEARCH - NORTH WARRANDYTE,137,2007,6838
WATTLE GLEN - DIAMOND CREEK,521.7,2007,13267
BUNDOORA - NORTH,1454.9,2007,4860
BUNDOORA - WEST,2534.8,2007,6527
EPPING,459,2007,21238
LALOR,1921.7,2007,20182
MILL PARK - NORTH,2282.9,2007,19303
MILL PARK - SOUTH,2468,2007,13355
SOUTH MORANG,992.9,2007,19276
THOMASTOWN,1460.1,2007,21328
WALLAN,29.9,2007,10586
WHITTLESEA,28.2,2007,6869
AIRPORT WEST,2115.4,2007,6920
KEILOR,495.3,2007,8836
KEILOR EAST,2485.6,2007,25026
NIDDRIE - ESSENDON WEST,2518.7,2007,6153
STRATHMORE,2371,2007,9036
GISBORNE,59.6,2007,10031
MACEDON,45.4,2007,3432
RIDDELLS CREEK,48,2007,3697
ROMSEY,14.7,2007,8207
COBURG NORTH,1542.6,2007,6434
FAWKNER,2807.3,2007,12481
GLENROY - HADFIELD,2326.4,2007,26775
PASCOE VALE,3352.1,2007,19927
SUNBURY,102,2007,12542
SUNBURY - SOUTH,197.5,2007,22884
BROADMEADOWS,1505.7,2007,11461
CAMPBELLFIELD - COOLAROO,937.7,2007,15997
CRAIGIEBURN - MICKLEHAM,455.4,2007,25378
GLADSTONE PARK - WESTMEADOWS,1278.3,2007,18115
GREENVALE - BULLA,148.7,2007,12050
MEADOW HEIGHTS,3403.2,2007,15405
MELBOURNE AIRPORT,5.2,2007,138
ROXBURGH PARK - SOMERTON,1895.4,2007,18321
TULLAMARINE,1752.3,2007,6594
BAYSWATER,1517.1,2007,11124
BORONIA - THE BASIN,1562.1,2007,25190
FERNTREE GULLY,1784.9,2007,27939
KNOXFIELD - SCORESBY,924.4,2007,13164
LYSTERFIELD,372.6,2007,6380
ROWVILLE - CENTRAL,1862.4,2007,15873
ROWVILLE - NORTH,1943.9,2007,8292
ROWVILLE - SOUTH,1194.4,2007,10838
WANTIRNA,1696.9,2007,14383
WANTIRNA SOUTH,1392,2007,18238
DONVALE - PARK ORCHARDS,781.4,2007,16064
WARRANDYTE - WONGA PARK,226.6,2007,10425
BAYSWATER NORTH,1212.9,2007,11353
CROYDON,1851.7,2007,28698
CROYDON HILLS - WARRANWOOD,2011.7,2007,18263
RINGWOOD,1744.4,2007,15411
RINGWOOD EAST,2212.4,2007,18846
RINGWOOD NORTH,2071.7,2007,9569
FOREST HILL,2666,2007,10124
MITCHAM (VIC.),2505.8,2007,14976
NUNAWADING,2348.3,2007,10846
VERMONT,2313.3,2007,9860
VERMONT SOUTH,1970.6,2007,11915
BELGRAVE - SELBY,183,2007,10531
CHIRNSIDE PARK,440.2,2007,9251
HEALESVILLE - YARRA GLEN,36.4,2007,12571
KILSYTH,1093.6,2007,8625
LILYDALE - COLDSTREAM,174.8,2007,17445
MONBULK - SILVAN,83.8,2007,5649
MONTROSE,667.7,2007,6772
MOOROOLBARK,1774.2,2007,20181
MOUNT DANDENONG - OLINDA,120.7,2007,9843
MOUNT EVELYN,567.9,2007,9427
UPWEY - TECOMA,1108.5,2007,10070
WANDIN - SEVILLE,69.5,2007,7372
YARRA VALLEY,22.1,2007,15949
BEACONSFIELD - OFFICER,282.2,2007,6945
BUNYIP - GARFIELD,22.7,2007,7859
EMERALD - COCKATOO,49.1,2007,17699
KOO WEE RUP,18.1,2007,5773
PAKENHAM - NORTH,477.8,2007,8180
PAKENHAM - SOUTH,556.6,2007,14078
BERWICK - NORTH,1196.7,2007,21826
BERWICK - SOUTH,1673.7,2007,18333
DOVETON,2185.8,2007,9823
ENDEAVOUR HILLS,1307.4,2007,26750
HALLAM,1366.5,2007,10038
NARRE WARREN,1920,2007,26556
NARRE WARREN NORTH,223.7,2007,6493
CRANBOURNE,1664.9,2007,15913
CRANBOURNE EAST,441.2,2007,4858
CRANBOURNE NORTH,1862.4,2007,10632
CRANBOURNE SOUTH,109.5,2007,5141
CRANBOURNE WEST,967.1,2007,7880
HAMPTON PARK - LYNBROOK,1923.3,2007,22851
LYNBROOK - LYNDHURST,2113,2007,6319
NARRE WARREN SOUTH,2317.4,2007,27524
PEARCEDALE - TOORADIN,78.5,2007,7559
CLARINDA - OAKLEIGH SOUTH,1943.1,2007,12241
CLAYTON SOUTH,1622,2007,11068
DANDENONG,494.8,2007,24232
DANDENONG NORTH,2470.9,2007,22875
DINGLEY VILLAGE,1438,2007,10420
KEYSBOROUGH,810,2007,18929
NOBLE PARK,3678,2007,27593
NOBLE PARK NORTH,2091.4,2007,7769
SPRINGVALE,1973.6,2007,19245
SPRINGVALE SOUTH,2809.5,2007,12217
ASHWOOD - CHADSTONE,2747.7,2007,15966
CLAYTON,2223.1,2007,16732
GLEN WAVERLEY - EAST,2383.5,2007,21242
GLEN WAVERLEY - WEST,2644.6,2007,18568
MOUNT WAVERLEY - NORTH,2516.5,2007,14926
MOUNT WAVERLEY - SOUTH,2165.1,2007,16962
MULGRAVE,1837.1,2007,17227
OAKLEIGH - HUNTINGDALE,2203.7,2007,19988
WHEELERS HILL,1977.7,2007,20489
ARDEER - ALBION,1695,2007,6559
CAIRNLEA,2330.1,2007,7362
DEER PARK - DERRIMUT,1253.4,2007,15447
DELAHEY,2508.1,2007,9042
KEILOR DOWNS,1805.4,2007,14406
KINGS PARK (VIC.),3235.1,2007,14529
ST ALBANS - NORTH,3099.4,2007,18884
ST ALBANS - SOUTH,2757.3,2007,15975
SUNSHINE,2103,2007,8473
SUNSHINE NORTH,1464.4,2007,10525
SUNSHINE WEST,1452.4,2007,16444
SYDENHAM,3145.9,2007,11421
TAYLORS LAKES,1006,2007,19101
ALTONA,749,2007,11915
ALTONA MEADOWS,1847,2007,19707
ALTONA NORTH,898.4,2007,12877
NEWPORT,2062.8,2007,15864
SEABROOK,3236.6,2007,5175
WILLIAMSTOWN,2127.1,2007,14950
BRAYBROOK,2456.2,2007,14178
FOOTSCRAY,3299.1,2007,12085
MARIBYRNONG,2283.9,2007,9204
SEDDON - KINGSVILLE,5487.9,2007,8356
WEST FOOTSCRAY - TOTTENHAM,1948.5,2007,10307
YARRAVILLE,2726.5,2007,13536
BACCHUS MARSH,101.5,2007,15844
CAROLINE SPRINGS,2704.5,2007,17936
HILLSIDE,283.8,2007,14579
MELTON,152.8,2007,15765
MELTON SOUTH,202.6,2007,12434
MELTON WEST,704,2007,11358
ROCKBANK - MOUNT COTTRELL,24.4,2007,2446
TAYLORS HILL,3057.9,2007,10309
HOPPERS CROSSING - NORTH,1800.9,2007,19469
HOPPERS CROSSING - SOUTH,2757,2007,19315
LAVERTON,350,2007,4571
POINT COOK,1277.6,2007,17606
TARNEIT,546.5,2007,10753
TRUGANINA,741.8,2007,4347
WERRIBEE,241.7,2007,29843
WERRIBEE - SOUTH,104.8,2007,10367
WYNDHAM VALE,181.6,2007,11838
CARRUM DOWNS,1034.8,2007,17898
FRANKSTON,1975.1,2007,21697
FRANKSTON NORTH,1477.9,2007,19160
FRANKSTON SOUTH,1275.6,2007,17823
LANGWARRIN,628.3,2007,21638
SEAFORD (VIC.),1367.1,2007,16013
DROMANA,236.3,2007,8830
FLINDERS,18.9,2007,5827
HASTINGS - SOMERS,198.8,2007,19424
MORNINGTON,1155.6,2007,21966
MOUNT ELIZA,788.8,2007,17227
MOUNT MARTHA,633.7,2007,15805
POINT NEPEAN,246.2,2007,16583
ROSEBUD - MCCRAE,886.4,2007,18812
SOMERVILLE,153,2007,17266
ALFREDTON,191.5,2007,7034
BALLARAT,1002.2,2007,12408
BALLARAT - NORTH,257,2007,21492
BALLARAT - SOUTH,757.8,2007,20911
BUNINYONG,139.7,2007,6131
DELACOMBE,194.7,2007,5206
SMYTHES CREEK,38.6,2007,3594
WENDOUREE - MINERS REST,219.7,2007,13033
BACCHUS MARSH REGION,5.7,2007,5138
CRESWICK - CLUNES,8.7,2007,7351
DAYLESFORD,9.6,2007,8059
GORDON (VIC.),6.6,2007,5381
AVOCA,1.9,2007,3296
BEAUFORT,2.2,2007,3843
GOLDEN PLAINS - NORTH,4.5,2007,3973
MARYBOROUGH (VIC.),169.9,2007,7599
MARYBOROUGH REGION,3.1,2007,5081
BENDIGO,929,2007,14855
CALIFORNIA GULLY - EAGLEHAWK,341.7,2007,9788
EAST BENDIGO - KENNINGTON,799.9,2007,13542
FLORA HILL - SPRING GULLY,709.8,2007,9184
KANGAROO FLAT - GOLDEN SQUARE,482.8,2007,17545
MAIDEN GULLY,117.2,2007,3703
STRATHFIELDSAYE,147.2,2007,5927
WHITE HILLS - ASCOT,156.2,2007,7619
BENDIGO REGION - SOUTH,8.7,2007,5827
CASTLEMAINE,120.1,2007,9691
CASTLEMAINE REGION,5.5,2007,7982
HEATHCOTE,5.6,2007,3974
KYNETON,17,2007,8367
WOODEND,32.1,2007,6178
BENDIGO REGION - NORTH,3,2007,4073
LODDON,1.1,2007,7464
BANNOCKBURN,30.4,2007,3825
GOLDEN PLAINS - SOUTH,4.5,2007,5630
WINCHELSEA,6.2,2007,5545
BELMONT,1516.2,2007,13630
CORIO - NORLANE,330.1,2007,25825
GEELONG,1011.2,2007,12078
GEELONG WEST - HAMLYN HEIGHTS,615.7,2007,18574
GROVEDALE,399.4,2007,18117
HIGHTON,542.1,2007,18100
LARA,29.8,2007,14878
LEOPOLD,429.8,2007,9065
NEWCOMB - MOOLAP,344,2007,14706
NEWTOWN (VIC.),1793,2007,9857
NORTH GEELONG - BELL PARK,678.9,2007,13919
CLIFTON SPRINGS,197.7,2007,11184
LORNE - ANGLESEA,10.8,2007,4871
OCEAN GROVE - BARWON HEADS,134.5,2007,17191
PORTARLINGTON,99.5,2007,5863
QUEENSCLIFF,66.7,2007,4126
TORQUAY,144.3,2007,12472
ALEXANDRA,3,2007,6299
EUROA,2.9,2007,6040
KILMORE - BROADFORD,28.6,2007,10798
MANSFIELD (VIC.),2.2,2007,7707
NAGAMBIE,2.9,2007,3468
SEYMOUR,80,2007,6551
SEYMOUR REGION,2.6,2007,4212
UPPER YARRA VALLEY,0.3,2007,194
YEA,2.3,2007,3561
BENALLA,32.4,2007,10317
BENALLA REGION,1.6,2007,3451
RUTHERGLEN,7.8,2007,3661
WANGARATTA,315.3,2007,17419
WANGARATTA REGION,2.5,2007,9452
BEECHWORTH,11.8,2007,4197
BRIGHT - MOUNT BEAUTY,1.8,2007,7838
CHILTERN - INDIGO VALLEY,5.6,2007,2903
MYRTLEFORD,8.2,2007,4722
TOWONG,0.9,2007,6055
WEST WODONGA,98.4,2007,14211
WODONGA,84,2007,19626
YACKANDANDAH,6.3,2007,4329
DROUIN,47.1,2007,11020
MOUNT BAW BAW REGION,2.1,2007,5890
TRAFALGAR (VIC.),15,2007,6189
WARRAGUL,50.9,2007,15561
BAIRNSDALE,92.1,2007,12846
BRUTHEN - OMEO,1,2007,7340
LAKES ENTRANCE,46.6,2007,8891
ORBOST,0.6,2007,6851
PAYNESVILLE,14.6,2007,5196
FOSTER,5.4,2007,8172
FRENCH ISLAND,0.7,2007,96
KORUMBURRA,15,2007,8328
LEONGATHA,13.5,2007,10118
PHILLIP ISLAND,100.7,2007,8573
WILSONS PROMONTORY,0,2007,13
WONTHAGGI - INVERLOCH,29.9,2007,18602
CHURCHILL,14.9,2007,11265
MOE - NEWBOROUGH,154.4,2007,16795
MORWELL,163.5,2007,13984
TRARALGON,179.3,2007,24356
YALLOURN NORTH - GLENGARRY,13,2007,4453
ALPS - WEST,0,2007,26
LONGFORD - LOCH SPORT,2.4,2007,3730
MAFFRA,5.3,2007,13157
ROSEDALE,4.9,2007,4357
SALE,322.5,2007,14019
YARRAM,2.7,2007,5453
ARARAT,49.3,2007,8052
ARARAT REGION,0.7,2007,3075
HORSHAM,198,2007,15386
HORSHAM REGION,0.8,2007,3551
NHILL REGION,0.6,2007,7501
ST ARNAUD,1.1,2007,3704
STAWELL,3,2007,8405
WEST WIMMERA,0.5,2007,3088
YARRIAMBIACK,0.9,2007,7450
IRYMPLE,73.1,2007,6487
MERBEIN,44.5,2007,4698
MILDURA,432.9,2007,29995
MILDURA REGION,0.2,2007,4126
RED CLIFFS,22.2,2007,5549
BULOKE,0.7,2007,6868
GANNAWARRA,1.7,2007,7037
KERANG,25.8,2007,4155
ROBINVALE,18.8,2007,3776
SWAN HILL,85.4,2007,10228
SWAN HILL REGION,1.1,2007,6976
ECHUCA,79.8,2007,13961
KYABRAM,14.6,2007,10834
LOCKINGTON - GUNBOWER,2.2,2007,4139
ROCHESTER,10.9,2007,3747
RUSHWORTH,2.4,2007,4284
COBRAM,47.9,2007,6048
MOIRA,1.7,2007,2707
NUMURKAH,5.3,2007,12457
YARRAWONGA,81.3,2007,6491
MOOROOPNA,193.6,2007,7841
SHEPPARTON - NORTH,281.8,2007,16592
SHEPPARTON - SOUTH,161.5,2007,20206
SHEPPARTON REGION - EAST,3.7,2007,4009
SHEPPARTON REGION - WEST,9.6,2007,9887
GLENELG (VIC.),1.4,2007,9201
HAMILTON (VIC.),49.5,2007,10386
PORTLAND,167.9,2007,10800
SOUTHERN GRAMPIANS,0.9,2007,6638
CAMPERDOWN,34.2,2007,3531
COLAC,215.9,2007,11583
COLAC REGION,2.7,2007,5632
CORANGAMITE - NORTH,2,2007,5552
CORANGAMITE - SOUTH,3.9,2007,7627
MOYNE - EAST,2,2007,6606
MOYNE - WEST,4.6,2007,8694
OTWAY,2.1,2007,3489
WARRNAMBOOL - NORTH,334,2007,18877
WARRNAMBOOL - SOUTH,109.3,2007,12839
BRUNSWICK,5102.6,2008,22641
BRUNSWICK EAST,4981.9,2008,8313
BRUNSWICK WEST,4589.1,2008,13232
COBURG,3990.4,2008,25319
PASCOE VALE SOUTH,3419.6,2008,9445
ALPHINGTON - FAIRFIELD,3108.7,2008,8270
NORTHCOTE,4219.6,2008,23282
THORNBURY,3863.4,2008,17880
ASCOT VALE,3995.1,2008,13671
ESSENDON - ABERFELDIE,3275.2,2008,24854
FLEMINGTON,6322.1,2008,8841
MOONEE PONDS,3394.4,2008,13618
CARLTON,9783.1,2008,14133
DOCKLANDS,2955.1,2008,5040
EAST MELBOURNE,1865.7,2008,5055
FLEMINGTON RACECOURSE,50.3,2008,73
KENSINGTON,5124.4,2008,9828
MELBOURNE,14114.8,2008,17325
NORTH MELBOURNE,6121.2,2008,14812
