POSTCODE,year,occurence
3379,2011,27
3380,2011,615
3381,2011,65
3384,2011,15
3385,2011,11
3387,2011,4
3388,2011,29
3390,2011,55
3391,2011,25
3392,2011,12
3393,2011,187
3395,2011,33
3396,2011,21
3399,2011,14
3400,2011,"1,905"
3401,2011,86
3407,2011,12
3409,2011,15
3412,2011,16
3413,2011,3
3414,2011,73
3415,2011,11
3418,2011,133
3419,2011,41
3420,2011,3
3422,2011,1
3423,2011,24
3424,2011,36
3427,2011,113
3428,2011,58
3429,2011,"1,810"
3430,2011,14
3431,2011,87
3432,2011,2
3433,2011,10
3434,2011,160
3435,2011,66
3437,2011,272
3438,2011,52
3440,2011,73
3441,2011,25
3442,2011,250
3444,2011,458
3446,2011,74
3447,2011,12
3448,2011,22
3450,2011,600
3451,2011,119
3453,2011,37
3458,2011,73
3460,2011,213
3461,2011,117
3462,2011,39
3463,2011,79
3464,2011,28
3465,2011,715
3467,2011,26
3468,2011,5
3469,2011,7
3472,2011,85
3475,2011,22
3477,2011,1
3478,2011,219
3480,2011,102
3482,2011,12
3483,2011,40
3485,2011,5
3487,2011,8
3488,2011,3
3489,2011,6
3490,2011,59
3491,2011,8
3494,2011,42
3496,2011,413
3498,2011,231
3500,2011,"4,143"
3501,2011,50
3505,2011,300
3506,2011,6
3507,2011,3
3509,2011,17
3512,2011,9
3515,2011,38
3516,2011,35
3517,2011,84
3518,2011,128
3520,2011,15
3521,2011,19
3522,2011,14
3523,2011,96
3525,2011,84
3527,2011,32
3529,2011,3
3530,2011,2
3531,2011,4
3533,2011,23
3537,2011,25
3539,2011,22
3540,2011,7
3542,2011,3
3544,2011,12
3546,2011,48
3549,2011,371
3550,2011,"3,820"
3551,2011,649
3555,2011,"1,130"
3556,2011,893
3557,2011,38
3558,2011,74
3559,2011,29
3561,2011,203
3562,2011,11
3563,2011,14
3564,2011,"1,592"
3565,2011,7
3566,2011,16
3567,2011,15
3568,2011,102
3570,2011,34
3571,2011,16
3572,2011,8
3573,2011,17
3575,2011,19
3576,2011,1
3578,2011,1
3579,2011,334
3580,2011,8
3581,2011,14
3583,2011,7
3584,2011,37
3585,2011,"1,243"
3586,2011,10
3588,2011,4
3589,2011,19
3590,2011,3
3591,2011,0
3594,2011,0
3595,2011,32
3596,2011,3
3597,2011,16
3599,2011,5
3607,2011,5
3608,2011,129
3610,2011,149
3612,2011,134
3614,2011,25
3616,2011,366
3617,2011,5
3618,2011,23
3620,2011,354
3621,2011,90
3622,2011,9
3623,2011,41
3624,2011,10
3629,2011,803
3630,2011,"4,482"
3631,2011,384
3633,2011,22
3634,2011,43
3635,2011,12
3636,2011,201
3637,2011,15
3638,2011,109
3639,2011,22
3640,2011,35
3641,2011,42
3644,2011,607
3646,2011,28
3647,2011,0
3649,2011,12
3658,2011,241
3659,2011,37
3660,2011,"1,008"
3662,2011,25
3663,2011,7
3664,2011,28
3665,2011,25
3666,2011,182
3669,2011,48
3670,2011,26
3672,2011,838
3673,2011,49
3675,2011,63
3677,2011,"2,000"
3678,2011,97
3682,2011,19
3683,2011,88
3685,2011,90
3687,2011,37
3688,2011,62
3690,2011,"2,993"
3691,2011,190
3695,2011,16
3697,2011,15
3698,2011,9
3699,2011,47
3700,2011,60
3701,2011,37
3704,2011,0
3705,2011,7
3707,2011,117
3708,2011,0
3709,2011,14
3711,2011,12
3712,2011,19
3713,2011,113
3714,2011,140
3715,2011,8
3717,2011,105
3718,2011,17
3719,2011,4
3720,2011,55
3722,2011,240
3723,2011,127
3724,2011,1
3725,2011,12
3726,2011,5
3727,2011,3
3728,2011,14
3730,2011,365
3732,2011,16
3733,2011,5
3735,2011,1
3737,2011,237
3738,2011,4
3739,2011,1
3740,2011,20
3741,2011,118
3744,2011,3
3746,2011,10
3747,2011,145
3749,2011,31
3750,2011,258
3751,2011,18
3752,2011,"1,062"
3753,2011,70
3754,2011,"1,143"
3755,2011,15
3756,2011,545
3757,2011,369
3758,2011,94
3759,2011,18
3760,2011,0
3761,2011,23
3762,2011,5
3763,2011,81
3764,2011,362
3765,2011,248
3766,2011,26
3767,2011,29
3770,2011,86
3775,2011,96
3777,2011,392
3778,2011,7
3779,2011,42
3781,2011,124
3782,2011,251
3783,2011,94
3785,2011,6
3786,2011,50
3787,2011,17
3788,2011,112
3789,2011,10
3791,2011,23
3792,2011,19
3793,2011,111
3795,2011,37
3796,2011,246
3797,2011,138
3799,2011,199
3802,2011,"1,079"
3803,2011,810
3804,2011,231
3805,2011,"3,690"
3806,2011,"1,745"
3807,2011,292
3808,2011,136
3809,2011,279
3810,2011,"2,965"
3812,2011,76
3813,2011,22
3814,2011,49
3815,2011,109
3816,2011,95
3818,2011,598
3820,2011,"1,062"
3821,2011,57
3822,2011,26
3823,2011,85
3824,2011,268
3825,2011,"2,399"
3831,2011,48
3833,2011,37
3835,2011,36
3840,2011,"3,256"
3842,2011,593
3844,2011,"2,852"
3847,2011,139
