POSTCODE,Suburb,Top country of birth,total,"Born overseas, %","Born in non-English speaking country, %",Top country of birth__1,"Top country of birth, persons","Top country of birth, %",AgeRang,percent,AgeGroup,AG_percent
3037,TAYLORS HILL,India,12700,35.3,32.1,India,1076,4.7,rang0n4,11.6,Children,28.3
3038,KEILOR DOWNS,Vietnam,10755,42.3,39.3,Vietnam,876,4.5,rang0n4,4.5,Children,15.5
3038,TAYLORS LAKES,Italy,16764,32.4,29.2,Italy,976,3.1,rang0n4,4.3,Children,17.6
3038,KEILOR LODGE,Italy,1845,28.8,25.5,Italy,118,3.5,rang0n4,3.4,Children,17.7
3039,MOONEE PONDS,Italy,14362,26.6,20.6,Italy,1508,5.8,rang0n4,6.2,Children,16.1
3040,ESSENDON,India,19720,23,18.2,India,1530,4.3,rang0n4,5.1,Children,16.4
3040,ABERFELDIE,England,3765,16.5,11.9,England,170,2.5,rang0n4,4.2,Children,19.5
3040,ESSENDON WEST,Italy,1452,18.2,13.9,Italy,76,2.8,rang0n4,4.3,Children,19.6
3041,STRATHMORE,Italy,8471,16.7,12,Italy,426,2.7,rang0n4,5.4,Children,19.8
3041,ESSENDON NORTH,India,2439,26.2,21.1,India,218,5.2,rang0n4,5,Children,15.5
3041,STRATHMORE HEIGHTS,Italy,979,20.9,15.1,Italy,46,2.5,rang0n4,5.6,Children,18.9
3042,AIRPORT WEST,Italy,7336,28.7,24.8,Italy,1254,9.5,rang0n4,6,Children,15.3
3042,NIDDRIE,Italy,5092,22.1,17.2,Italy,334,3.6,rang0n4,6.9,Children,18.7
3042,KEILOR PARK,Italy,2614,34.9,31.7,Italy,758,15.3,rang0n4,5.3,Children,14.4
3043,GLADSTONE PARK,Italy,8637,35.7,30.9,Italy,686,4.4,rang0n4,4.9,Children,15
3043,TULLAMARINE,Italy,6552,35.9,30.6,Italy,542,4.6,rang0n4,5.2,Children,13.3
3043,GOWANBRAE,Italy,2922,26.5,22,Italy,132,2.5,rang0n4,9.3,Children,23.8
3044,PASCOE VALE,Italy,15746,31.1,26.7,Italy,1870,6.6,rang0n4,6.6,Children,17.2
3044,PASCOE VALE SOUTH,Italy,9934,24.7,20.8,Italy,1182,6.4,rang0n4,6.6,Children,20.2
3045,MELBOURNE AIRPORT,New Zealand,158,30.2,20.9,New Zealand,18,10.6,rang0n4,5.1,Children,16.5
3046,GLENROY,India,20810,41.9,37.7,India,1994,5.5,rang0n4,6.9,Children,17.5
3046,OAK PARK,India,6102,31,26.5,India,442,4,rang0n4,6.2,Children,16.6
3046,HADFIELD,Italy,5625,35.3,32.6,Italy,832,8.4,rang0n4,6.7,Children,17.9
3047,BROADMEADOWS,Iraq,11187,46.9,43.1,Iraq,1400,7.5,rang0n4,8.3,Children,23
3047,DALLAS,Turkey,6778,49,45.7,Turkey,1784,15.5,rang0n4,7.6,Children,23
3047,JACANA,India,2048,39.2,33.7,India,138,3.9,rang0n4,5,Children,16.1
3048,MEADOW HEIGHTS,Turkey,15635,47.5,45,Turkey,3786,13.5,rang0n4,8.2,Children,24.9
3048,COOLAROO,Iraq,3345,43.6,39.7,Iraq,662,11,rang0n4,6.9,Children,21.1
3049,WESTMEADOWS,Italy,5725,25.6,21.1,Italy,472,4.6,rang0n4,4.8,Children,14.1
3049,ATTWOOD,Italy,3387,23.9,20.1,Italy,222,3.5,rang0n4,6.4,Children,22.5
3051,NORTH MELBOURNE,China,12943,46.1,36.7,China,1722,8.2,rang0n4,4.1,Children,10.7
3052,PARKVILLE,China,6690,38.7,28.9,China,724,6.3,rang0n4,2.4,Children,5.7
3053,CARLTON,China,14602,63,55.3,China,2668,11.2,rang0n4,3,Children,7.3
3054,PRINCES HILL,England,2199,25.3,16.1,England,122,3.1,rang0n4,4.2,Children,12.1
3054,CARLTON NORTH,England,6644,26.5,15.7,England,464,4,rang0n4,4.4,Children,10.1
3055,BRUNSWICK WEST,Italy,13959,36.4,30,Italy,1164,4.7,rang0n4,5.4,Children,12.9
3056,BRUNSWICK,Italy,24433,34.8,26.5,Italy,1864,4.4,rang0n4,5.5,Children,11
3057,BRUNSWICK EAST,Italy,9114,33.9,24.8,Italy,1036,6.4,rang0n4,5,Children,12
3058,COBURG,Italy,26503,35.9,30.6,Italy,3482,7.4,rang0n4,7,Children,16.7
3058,COBURG NORTH,Italy,6923,38.7,32.8,Italy,984,8.1,rang0n4,6.8,Children,16.9
3059,GREENVALE,Italy,12344,31,28.6,Italy,1458,6.4,rang0n4,4.7,Children,19.6
3060,FAWKNER,Italy,13316,49.6,45.7,Italy,3314,14,rang0n4,7.1,Children,20.1
3061,CAMPBELLFIELD,Iraq,5730,54.9,52.4,Iraq,1372,13.7,rang0n4,7.8,Children,21.7
3064,ROXBURGH PARK,Iraq,20536,46,43.5,Iraq,4664,12.9,rang0n4,8.6,Children,27.9
3065,FITZROY,Vietnam,10535,37.4,25.6,Vietnam,796,4.8,rang0n4,5.2,Children,11.2
3066,COLLINGWOOD,Vietnam,7090,37.7,27.8,Vietnam,796,7.1,rang0n4,5.6,Children,12.5
3068,FITZROY NORTH,England,12330,27.6,16.5,England,996,4.6,rang0n4,5.7,Children,13.2
3068,CLIFTON HILL,England,6297,23.3,12.8,England,484,4.4,rang0n4,5.7,Children,13.8
3070,NORTHCOTE,Greece,24316,27.7,19.1,Greece,2476,5.7,rang0n4,6.3,Children,16.1
3072,PRESTON,Italy,31514,37.2,32,Italy,2640,4.8,rang0n4,6.6,Children,16.5
3074,THOMASTOWN,Italy,21348,53.9,51.9,Italy,3232,8.4,rang0n4,5.9,Children,16.1
3075,LALOR,Italy,21348,49.8,47.6,Italy,2820,7.5,rang0n4,6.5,Children,17.9
3076,EPPING,India,29632,36.1,32.5,India,2996,5.9,rang0n4,8.6,Children,21.4
3078,ALPHINGTON,England,4893,22.1,14.4,England,342,3.9,rang0n4,6.2,Children,19.1
3078,FAIRFIELD,Greece,6194,28.2,20.6,Greece,466,4.1,rang0n4,5.7,Children,14.8
3079,IVANHOE,China,11691,26.3,19.1,China,668,3.1,rang0n4,5.5,Children,17.8
3079,IVANHOE EAST,England,4024,20.4,13.9,England,260,3.6,rang0n4,5.2,Children,18.9
3081,HEIDELBERG WEST,Somalia,5672,37,32,Somalia,548,5.6,rang0n4,7.8,Children,20.1
3081,HEIDELBERG HEIGHTS,India,6713,31.3,25.2,India,438,3.7,rang0n4,7.1,Children,16.1
3082,MILL PARK,FYR Macedonia,31334,33.3,29.9,FYR Macedonia,2142,3.7,rang0n4,5.3,Children,18.2
3083,BUNDOORA,China,27155,38,33.9,China,3674,7.6,rang0n4,5.3,Children,15.5
3083,KINGSBURY,China,3556,52.1,47.9,China,770,11.9,rang0n4,4.7,Children,12.5
3084,ROSANNA,Italy,8350,24.9,18.5,Italy,630,4.2,rang0n4,7.2,Children,17.3
3084,HEIDELBERG,China,6056,27.4,21.2,China,324,3,rang0n4,7.2,Children,18.3
3084,VIEWBANK,England,7067,26.2,20.8,England,394,3,rang0n4,6.6,Children,18.1
3084,EAGLEMONT,Italy,4067,21.3,14.5,Italy,280,3.7,rang0n4,4.7,Children,17.2
3085,MACLEOD,England,10054,25.5,19,England,556,3,rang0n4,7.3,Children,18
3085,YALLAMBIE,England,4250,18.2,12.1,England,272,3.5,rang0n4,8.4,Children,19.9
3087,WATSONIA,England,5338,18.2,13.2,England,242,2.5,rang0n4,6.7,Children,17.8
3087,WATSONIA NORTH,Italy,3984,21.9,17.2,Italy,262,3.5,rang0n4,5.9,Children,16.7
3088,GREENSBOROUGH,England,21372,19.2,13,England,1212,3.1,rang0n4,6.7,Children,18
3088,ST HELENA,England,2906,14.3,8.1,England,174,3.1,rang0n4,4.5,Children,16.3
3088,BRIAR HILL,England,3192,15.7,7.9,England,272,4.5,rang0n4,6.3,Children,16.5
3089,DIAMOND CREEK,England,11372,13.4,6.2,England,962,4.5,rang0n4,5.9,Children,20.5
3090,PLENTY,England,1573,12.6,8.5,England,68,2.4,rang0n4,6.2,Children,27.6
3091,YARRAMBAT,Italy,698,14.1,9.6,Italy,60,4.7,rang0n4,3.3,Children,18.9
3093,LOWER PLENTY,England,3913,15.8,9.2,England,256,3.5,rang0n4,5.1,Children,17.1
3094,MONTMORENCY,England,9034,14.5,7.1,England,722,4.2,rang0n4,7.2,Children,17.8
3095,ELTHAM,England,18656,16.4,7.6,England,1830,5.2,rang0n4,5.9,Children,19.8
3095,ELTHAM NORTH,England,7096,14.6,7.7,England,582,4.4,rang0n4,5.7,Children,20.6
3095,RESEARCH,England,2302,12.5,5.8,England,202,4.7,rang0n4,4.5,Children,18.4
3096,WATTLE GLEN,England,1676,13.5,5.2,England,176,5.5,rang0n4,6.7,Children,20.7
3099,HURSTBRIDGE,England,2800,12,4.3,England,254,4.8,rang0n4,7.4,Children,22
3101,KEW,China,25364,28.7,21,China,1798,4,rang0n4,5,Children,16
3102,KEW EAST,China,6212,27.2,21.5,China,430,3.7,rang0n4,5.7,Children,19.7
3103,BALWYN,China,13646,37.8,30.7,China,2424,9.7,rang0n4,4,Children,15.8
3103,DEEPDENE,China,2473,29.5,23.5,China,328,7.3,rang0n4,3.6,Children,14.2
3104,BALWYN NORTH,China,21429,35.4,29.2,China,2926,7.4,rang0n4,4.4,Children,17.7
3105,BULLEEN,Italy,11404,40.9,37.6,Italy,1928,9.2,rang0n4,5.5,Children,15.7
3106,TEMPLESTOWE,China,17354,37.8,30,China,1526,4.8,rang0n4,4,Children,15.1
3107,TEMPLESTOWE LOWER,China,13790,37.7,32.5,China,1398,5.6,rang0n4,5.4,Children,15.6
3108,DONCASTER,China,19527,47.5,42.5,China,3982,11.3,rang0n4,4.4,Children,13.4
3109,DONCASTER EAST,China,28551,44.2,38.1,China,4278,8.2,rang0n4,4.8,Children,15.7
3111,DONVALE,China,12173,29.5,22.1,China,798,3.5,rang0n4,4.7,Children,17
3113,WARRANDYTE,England,5523,19.4,10.5,England,554,5.4,rang0n4,4.7,Children,20.2
3113,NORTH WARRANDYTE,England,2822,16.6,6.4,England,334,6.4,rang0n4,6.7,Children,22.2
3114,PARK ORCHARDS,England,3850,17.6,8.9,England,412,5.8,rang0n4,4.3,Children,20.4
3115,WONGA PARK,England,2793,13.6,5.2,England,294,5.6,rang0n4,4.7,Children,21
3116,CHIRNSIDE PARK,England,8624,20.8,10.3,England,1064,6.6,rang0n4,5.1,Children,17.9
3121,RICHMOND,Vietnam,25957,35.1,24.5,Vietnam,2694,6.1,rang0n4,4.9,Children,10.5
3121,BURNLEY,England,796,26.8,16.9,England,72,5,rang0n4,5.4,Children,10.1
3121,CREMORNE,New Zealand,1667,25.7,10.5,New Zealand,154,5.3,rang0n4,5.1,Children,10.2
3122,HAWTHORN,India,22712,33.2,24.2,India,1982,5,rang0n4,4.3,Children,12.2
3123,HAWTHORN EAST,India,14015,29.7,21.1,India,1006,4.1,rang0n4,5.1,Children,15
3124,CAMBERWELL,England,21043,26.9,17.5,England,1604,4.1,rang0n4,4.8,Children,17.8
3125,BURWOOD,China,14030,43.1,37.1,China,3038,12.1,rang0n4,4.9,Children,14.6
3126,CANTERBURY,England,8198,26.2,15.9,England,690,4.5,rang0n4,3.8,Children,16.7
3127,SURREY HILLS,England,13779,22.8,14.6,England,964,3.8,rang0n4,5.6,Children,19
3127,MONT ALBERT,China,5154,28.7,20.3,China,588,6.1,rang0n4,4.7,Children,16.6
3128,BOX HILL,China,10246,53,49.3,China,3946,22.3,rang0n4,4.3,Children,12
3128,BOX HILL SOUTH,China,8250,32.8,26,China,1270,8.6,rang0n4,6.5,Children,18.1
3129,BOX HILL NORTH,China,11446,40.2,34.6,China,2444,11.6,rang0n4,6,Children,17.5
3129,MONT ALBERT NORTH,China,5368,28.9,22.2,China,622,6.3,rang0n4,6.3,Children,18.5
3130,BLACKBURN,England,13428,25.7,17.7,England,974,4,rang0n4,5.6,Children,17.5
3130,BLACKBURN SOUTH,China,10997,30.8,24.1,China,1020,5.1,rang0n4,6.2,Children,17.9
3130,BLACKBURN NORTH,China,7350,31,25.2,China,706,5.2,rang0n4,7.2,Children,20.3
3131,NUNAWADING,China,11503,33.7,26.6,China,1182,5.6,rang0n4,7.2,Children,18.5
3131,FOREST HILL,China,10480,36.5,30.1,China,1252,6.5,rang0n4,5.8,Children,17.1
3132,MITCHAM,China,15738,28.7,21.5,China,1276,4.5,rang0n4,7.5,Children,18.9
3133,VERMONT SOUTH,China,11972,37.8,30.1,China,1134,5.1,rang0n4,4.1,Children,15.4
3133,VERMONT,England,10322,28.5,20.7,England,648,3.3,rang0n4,6,Children,19.2
3134,RINGWOOD,England,16729,30.1,21.4,England,1312,4.2,rang0n4,7.1,Children,17.3
3134,RINGWOOD NORTH,England,10032,20.5,12,England,768,4.1,rang0n4,5.8,Children,19.3
3134,WARRANWOOD,England,4937,15.7,8.1,England,412,4.5,rang0n4,5.7,Children,23
3134,WARRANDYTE SOUTH,England,239,16.7,5.3,England,36,7.8,rang0n4,2.5,Children,20.9
3135,RINGWOOD EAST,England,10238,23.5,15,England,870,4.7,rang0n4,7.3,Children,18.2
3135,HEATHMONT,England,9689,20.4,11,England,894,5,rang0n4,6.2,Children,18.5
3136,CROYDON,England,24557,21.8,11.8,England,2674,5.9,rang0n4,6.5,Children,16.7
3136,CROYDON NORTH,England,7970,18.6,8.3,England,874,5.9,rang0n4,5.9,Children,18.7
3136,CROYDON HILLS,England,5343,16,7.9,England,384,3.8,rang0n4,5.1,Children,20.7
3136,CROYDON SOUTH,England,4752,18.6,10.6,England,464,5.3,rang0n4,7,Children,18.8
3137,KILSYTH,England,10507,19,8.7,England,1336,6.9,rang0n4,6.9,Children,17.3
3137,KILSYTH SOUTH,England,3170,14.5,6.5,England,342,5.7,rang0n4,5.8,Children,24.7
3138,MOOROOLBARK,England,21406,19.5,9.6,England,2358,5.9,rang0n4,7.1,Children,19.7
3139,WANDIN NORTH,England,2269,12.5,5.1,England,226,5.3,rang0n4,7,Children,23.3
3140,LILYDALE,England,16210,17.9,8.1,England,1844,6.1,rang0n4,6.4,Children,19.3
3141,SOUTH YARRA,England,21362,37.5,23.3,England,1756,5.1,rang0n4,3.5,Children,8
3142,TOORAK,England,13800,30.7,20.8,England,892,3.7,rang0n4,3.3,Children,10.7
3143,ARMADALE,England,9320,30.5,20.5,England,678,4.2,rang0n4,5.5,Children,14
3144,MALVERN,India,10136,25.7,17.1,India,634,3.5,rang0n4,5.8,Children,17.8
3144,KOOYONG,England,841,20.3,13.7,England,78,5.1,rang0n4,4.9,Children,14.5
3145,MALVERN EAST,China,21158,28.9,22.1,China,1758,4.6,rang0n4,5.6,Children,17.9
3145,CAULFIELD EAST,China,1295,40.4,33,China,172,7.2,rang0n4,4.1,Children,11.4
3146,GLEN IRIS,England,26370,26,18.1,England,1662,3.5,rang0n4,5.8,Children,18.3
3147,ASHBURTON,England,8025,25.8,18.4,England,486,3.3,rang0n4,7.3,Children,21.4
3147,ASHWOOD,China,6418,35.2,28.7,China,762,6.6,rang0n4,7,Children,18
3148,CHADSTONE,China,8360,49.3,44.3,China,1330,9,rang0n4,6.1,Children,13.2
3149,MOUNT WAVERLEY,China,33958,39.8,33.1,China,4616,7.4,rang0n4,4.9,Children,16
3150,GLEN WAVERLEY,China,41176,50.9,44.5,China,8176,10.9,rang0n4,4,Children,15.2
3150,WHEELERS HILL,China,20237,43.1,35.8,China,1976,5.3,rang0n4,4.1,Children,14.9
3151,BURWOOD EAST,China,10601,47.6,43.2,China,2214,11.2,rang0n4,4.5,Children,13.6
3152,WANTIRNA SOUTH,Malaysia,18112,39.1,31.3,Malaysia,1570,4.6,rang0n4,4.2,Children,15
3152,WANTIRNA,China,14268,32.8,25.2,China,966,3.6,rang0n4,5.3,Children,15.3
3153,BAYSWATER,England,11773,30.2,21.6,England,892,4.1,rang0n4,6.7,Children,16.9
3153,BAYSWATER NORTH,England,8671,21.2,13.4,England,704,4.3,rang0n4,6.9,Children,17.8
3155,BORONIA,England,21453,23.5,14,England,2224,5.6,rang0n4,6.1,Children,16.3
3156,FERNTREE GULLY,England,26423,22.6,12.9,England,2814,5.7,rang0n4,6.1,Children,17.9
3156,UPPER FERNTREE GULLY,England,3267,19.8,8.4,England,430,7.1,rang0n4,6.6,Children,18.4
3156,LYSTERFIELD,England,6624,21.8,13.9,England,538,4.3,rang0n4,5.6,Children,21.7
3156,LYSTERFIELD SOUTH,England,954,27.9,16.2,England,104,5.7,rang0n4,4.6,Children,21.9
3158,UPWEY,England,7137,16.5,6.7,England,860,6.4,rang0n4,6.2,Children,18.8
3159,SELBY,England,1714,15.7,5.7,England,194,6.1,rang0n4,7.5,Children,21.2
3159,MENZIES CREEK,England,669,17.1,6.7,England,78,6.2,rang0n4,6.3,Children,22.2
3160,BELGRAVE,England,4078,17.8,6.8,England,516,6.8,rang0n4,7.1,Children,20
3160,BELGRAVE SOUTH,England,1549,16.9,6.6,England,178,6.1,rang0n4,4.2,Children,18.3
3160,TECOMA,England,2108,16.5,5.9,England,282,7.2,rang0n4,7.1,Children,20.3
3160,BELGRAVE HEIGHTS,England,1400,16.5,5.9,England,160,6.2,rang0n4,6,Children,23.4
3161,CAULFIELD NORTH,Poland,15428,37.1,26.4,Poland,1034,3.8,rang0n4,5.9,Children,16
3162,CAULFIELD SOUTH,South Africa,11911,38.7,25.7,South Africa,1362,6.4,rang0n4,6.7,Children,18.2
3162,CAULFIELD,South Africa,5443,44.5,33.2,South Africa,638,6.6,rang0n4,5.5,Children,15.7
3163,CARNEGIE,India,17289,44.4,37,India,2722,8.8,rang0n4,6,Children,14.5
3163,MURRUMBEENA,India,9108,34.2,27.9,India,1048,6.3,rang0n4,6.4,Children,17.2
3163,GLEN HUNTLY,India,4994,57.7,50,India,1284,15,rang0n4,5.3,Children,11.4
3166,HUGHESDALE,China,7509,39.9,34.8,China,934,7,rang0n4,6.8,Children,17.6
