Suburb,year,price
ABBOTSFORD,2005,427000
ABERFELDIE,2005,534000
AIREYS INLET,2005,459000
AIRPORT WEST,2005,311500
ALBANVALE,2005,210000
ALBERT PARK,2005,681000
ALBION,2005,216000
ALEXANDRA,2005,200000
ALFREDTON,2005,283000
ALLANSFORD,2005,210000
ALPHINGTON,2005,552500
ALTONA,2005,330000
ALTONA EAST,2005,295000
ALTONA MEADOWS,2005,232000
ALTONA NORTH,2005,277000
ANGLESEA,2005,391000
APOLLO BAY,2005,350000
ARARAT,2005,148000
ARDEER,2005,206000
ARMADALE,2005,801000
ARMSTRONG CREEK,2005,-
ARTHURS SEAT,2005,370000
ASCOT (BENDIGO),2005,285000
ASCOT VALE,2005,425000
ASHBURTON,2005,517500
ASHWOOD,2005,381000
ASPENDALE,2005,365000
ASPENDALE GARDENS,2005,377000
ATTWOOD,2005,291000
AVENEL,2005,184000
AVOCA,2005,133500
AVONDALE HEIGHTS,2005,315000
AVONSLEIGH,2005,265000
BACCHUS MARSH,2005,228000
BADGER CREEK,2005,201000
BAIRNSDALE,2005,195500
BALACLAVA,2005,495000
BALCOMBE,2005,450500
BALLAN,2005,200000
BALLARAT CENTRAL,2005,227000
BALLARAT EAST,2005,177500
BALLARAT NORTH,2005,217000
BALNARRING,2005,290000
BALNARRING BEACH,2005,470000
BALWYN,2005,746500
BALWYN NORTH,2005,605000
BANDIANA,2005,108000
BANNOCKBURN,2005,300000
BARANDUDA,2005,280000
BARWON HEADS,2005,376000
BAXTER,2005,215000
BAYSWATER,2005,270500
BAYSWATER NORTH,2005,274000
BEACONSFIELD,2005,328000
BEACONSFIELD UPPER,2005,322500
BEAUFORT,2005,113500
BEAUMARIS,2005,667500
BEECHWORTH,2005,231500
BELGRAVE,2005,262500
BELGRAVE HEIGHTS,2005,287500
BELGRAVE SOUTH,2005,275000
BELL PARK,2005,218000
BELL POST HILL,2005,230000
BELLBRIDGE,2005,250000
BELLFIELD (GREATER MELBOURNE),2005,305000
BELMONT,2005,240000
BENALLA,2005,185000
BENDIGO,2005,200000
BENTLEIGH,2005,502000
BENTLEIGH EAST,2005,401500
BERWICK,2005,292000
BEVERIDGE,2005,280000
BIRCHIP,2005,70000
BIRREGURRA,2005,172000
BITTERN,2005,230000
BLACK HILL,2005,229000
BLACK ROCK,2005,790000
BLACKBURN,2005,422500
BLACKBURN NORTH,2005,362000
BLACKBURN SOUTH,2005,380000
BLACKWOOD,2005,189000
BLAIRGOWRIE,2005,350000
BLIND BIGHT,2005,235000
BONBEACH,2005,365500
BONNIE DOON,2005,190000
BOOLARRA,2005,162500
BOORT,2005,110000
BORONIA,2005,270000
BOTANIC RIDGE,2005,-
BOX HILL,2005,487000
BOX HILL NORTH,2005,396000
BOX HILL SOUTH,2005,400000
BRAYBROOK,2005,220000
BREAKWATER,2005,194000
BRIAGOLONG,2005,155000
BRIAR HILL,2005,341000
BRIDGEWATER ON LODDON,2005,130000
BRIGHT,2005,271000
BRIGHTON,2005,1100000
BRIGHTON EAST,2005,712000
BROADFORD,2005,190000
BROADMEADOWS,2005,205000
BROOKFIELD,2005,269000
BROOKLYN,2005,265000
BROWN HILL,2005,185000
BRUNSWICK,2005,395000
BRUNSWICK EAST,2005,386500
BRUNSWICK WEST,2005,394500
BULLEEN,2005,410000
BUNDALONG,2005,254000
BUNDOORA,2005,295000
BUNINYONG,2005,243000
BUNYIP,2005,211000
BURNLEY,2005,471500
BURNSIDE,2005,274000
BURNSIDE HEIGHTS,2005,308000
BURWOOD,2005,447500
BURWOOD EAST,2005,370000
CAIRNLEA,2005,330000
CALIFORNIA GULLY,2005,175000
CAMBERWELL,2005,732000
CAMPBELLFIELD,2005,248000
CAMPBELLS CREEK,2005,205000
CAMPERDOWN,2005,162500
CANADIAN,2005,237000
CANTERBURY,2005,1006000
CAPE PATERSON,2005,266500
CAPE SCHANCK,2005,352500
CARDIGAN VILLAGE,2005,175000
CARISBROOK,2005,157000
CARLTON,2005,455000
CARLTON NORTH,2005,540000
CARNEGIE,2005,493000
CAROLINE SPRINGS,2005,285000
CARRUM,2005,305000
CARRUM DOWNS,2005,230000
CASTERTON,2005,90000
CASTLEMAINE,2005,217500
CAULFIELD,2005,640000
CAULFIELD EAST,2005,490000
CAULFIELD NORTH,2005,780000
CAULFIELD SOUTH,2005,575000
CHADSTONE,2005,357500
CHARLTON,2005,109500
CHELSEA,2005,332000
CHELSEA HEIGHTS,2005,307000
CHELTENHAM,2005,389500
CHELTENHAM EAST,2005,370000
CHELTENHAM NORTH,2005,352500
CHEWTON,2005,207500
CHILTERN,2005,178000
CHIRNSIDE PARK,2005,305000
CHUM CREEK,2005,225000
CHURCHILL,2005,120000
CLARINDA,2005,320000
CLAYTON,2005,331500
CLAYTON NORTH,2005,381500
CLAYTON SOUTH,2005,300000
CLIFTON HILL,2005,492500
CLIFTON SPRINGS,2005,244500
CLUNES,2005,147500
CLYDE,2005,222000
CLYDE NORTH,2005,-
COBDEN,2005,165000
COBRAM,2005,182500
COBURG,2005,365000
COBURG EAST,2005,300000
COBURG NORTH,2005,285000
COCKATOO,2005,220000
COHUNA,2005,130000
COLAC,2005,180000
COLDSTREAM,2005,250000
COLERAINE,2005,107500
COLLINGWOOD,2005,419000
CONNEWARRE,2005,255000
COOLAROO,2005,195000
COONANS HILL,2005,355000
CORINELLA,2005,226000
CORIO,2005,165000
CORONET BAY,2005,175000
CORRYONG,2005,110000
COWES,2005,322500
COWES WEST,2005,246000
CRAIGIEBURN,2005,240000
CRANBOURNE,2005,208000
CRANBOURNE EAST,2005,260000
CRANBOURNE NORTH,2005,227000
CRANBOURNE WEST,2005,215500
CREMORNE,2005,442000
CRESWICK,2005,184000
CRIB POINT,2005,221000
CROYDON,2005,285000
CROYDON HILLS,2005,347500
CROYDON NORTH,2005,340500
CROYDON SOUTH,2005,284500
CURLEWIS,2005,-
DALLAS,2005,195000
DANDENONG,2005,235000
DANDENONG NORTH,2005,235500
DARLEY,2005,236000
DAYLESFORD,2005,260000
DEEPDENE,2005,940000
DEER PARK,2005,219000
DELACOMBE,2005,217500
DELAHEY,2005,245000
DENNINGTON,2005,226500
DERRIMUT,2005,295000
DIAMOND CREEK,2005,338000
DIGGERS REST,2005,202500
DIMBOOLA,2005,87500
DINGLEY VILLAGE,2005,345000
DINNER PLAIN,2005,307500
DON VALLEY,2005,239500
DONALD,2005,95000
DONCASTER,2005,425000
DONCASTER EAST,2005,416000
DONVALE,2005,415000
DOREEN,2005,245000
DOVETON,2005,180000
DROMANA,2005,282000
DROUIN,2005,199000
DRUMCONDRA,2005,625000
DRYSDALE,2005,256500
DUNKELD,2005,150000
DUNOLLY,2005,115000
EAGLE POINT,2005,240000
EAGLEHAWK,2005,186500
EAGLEMONT,2005,797500
EAST BAIRNSDALE,2005,160000
EAST BENDIGO,2005,214000
EAST GEELONG,2005,250000
EAST MELBOURNE,2005,1285000
EAST WARBURTON,2005,187000
EASTWOOD,2005,290000
ECHUCA,2005,232500
EDENHOPE,2005,126500
EDITHVALE,2005,350000
EILDON,2005,140000
ELLIMINYT,2005,199000
ELMORE,2005,138500
ELSTERNWICK,2005,675000
ELTHAM,2005,390000
ELTHAM NORTH,2005,402000
ELWOOD,2005,752500
EMERALD,2005,308000
ENDEAVOUR HILLS,2005,259000
EPPING,2005,260000
EPSOM,2005,246500
ESSENDON,2005,510000
ESSENDON NORTH,2005,418000
ESSENDON WEST,2005,427500
EUMEMMERRING,2005,209000
EUREKA,2005,207000
EUROA,2005,160000
EYNESBURY,2005,-
FAIRFIELD,2005,460000
FAIRHAVEN,2005,510000
FAWKNER,2005,261000
FERNTREE GULLY,2005,272000
FERNY CREEK,2005,365000
FINGAL,2005,330000
FITZROY,2005,513500
FITZROY NORTH,2005,490000
FIVEWAYS,2005,241500
FLEMINGTON,2005,386000
FLINDERS,2005,526500
FLORA HILL,2005,220000
FOOTSCRAY,2005,314500
FOREST HILL,2005,350000
FORREST,2005,166000
FOSTER,2005,200000
FRANKSTON,2005,237500
FRANKSTON NORTH,2005,169000
FRANKSTON SOUTH,2005,343500
GARDEN CITY,2005,555000
GARFIELD,2005,235000
GEELONG,2005,334000
GEELONG WEST,2005,256500
GEMBROOK,2005,229000
GISBORNE,2005,270000
GLADSTONE PARK,2005,265000
GLEN HUNTLY,2005,510000
GLEN IRIS,2005,702000
GLEN WAVERLEY,2005,419000
GLENGARRY,2005,168000
GLENROY,2005,275000
GOLDEN BEACH,2005,125000
GOLDEN POINT (BALLARAT),2005,181000
GOLDEN SQUARE,2005,200000
GORDON,2005,198000
GOUGHS BAY,2005,159000
GOWANBRAE,2005,300500
GRANTVILLE,2005,226000
GREEN LAKE,2005,183000
GREENSBOROUGH,2005,334500
GREENVALE,2005,390000
GROVEDALE,2005,252500
HADFIELD,2005,281500
HALLAM,2005,238000
HALLS GAP,2005,244000
HAMILTON,2005,189500
HAMLYN HEIGHTS,2005,236000
HAMPTON,2005,676500
HAMPTON EAST,2005,443500
HAMPTON PARK,2005,220000
HARCOURT,2005,175000
HARKAWAY,2005,270000
HASTINGS,2005,219000
HASTINGS WEST,2005,178000
HAWTHORN,2005,714000
HAWTHORN EAST,2005,672000
HEALESVILLE,2005,239000
HEATHCOTE,2005,165000
HEATHERTON,2005,468500
HEATHMONT,2005,315500
HEIDELBERG,2005,453500
HEIDELBERG HEIGHTS,2005,324500
HEIDELBERG WEST,2005,255000
HEPBURN,2005,223500
HEPBURN SPRINGS,2005,256000
HERNE HILL,2005,225000
HEYFIELD,2005,102000
HEYWOOD,2005,125000
HIGHETT,2005,415500
HIGHTON,2005,320000
HILLSIDE (MELTON),2005,287500
HOPETOUN,2005,55000
HOPPERS CROSSING,2005,227000
HORSHAM,2005,170000
HUGHESDALE,2005,420000
HUNTINGDALE,2005,331000
HUNTLY,2005,230000
HURSTBRIDGE,2005,321000
INDENTED HEAD,2005,248500
INGLEWOOD,2005,98000
INVERLEIGH,2005,185000
INVERLOCH,2005,287500
INVERMAY PARK,2005,305000
IRONBARK,2005,205000
IRYMPLE,2005,215000
IVANHOE,2005,575000
IVANHOE EAST,2005,738500
JACANA,2005,205000
JACKASS FLAT,2005,232500
JAMIESON,2005,168000
JAN JUC,2005,370000
JEERALANG NORTH,2005,110000
JEPARIT,2005,75000
JOLIMONT,2005,1750000
JUNCTION VILLAGE,2005,205000
JUNORTOUN,2005,182000
KALIMNA,2005,255000
KALLISTA,2005,292500
KALORAMA,2005,309500
KANGAROO FLAT,2005,207500
KANGAROO GROUND SOUTH,2005,436500
KANIVA,2005,68000
KEALBA,2005,237500
KEILOR,2005,396500
KEILOR DOWNS,2005,266500
KEILOR EAST,2005,331000
KEILOR LODGE,2005,393500
KEILOR PARK,2005,318000
KENNINGTON,2005,230000
KENSINGTON,2005,400000
KERANG,2005,118000
KEW,2005,751000
KEW EAST,2005,600000
KEW NORTH,2005,650000
KEYSBOROUGH,2005,262000
KIALLA,2005,312500
KILCUNDA,2005,197500
KILLARA (WODONGA),2005,226000
KILMORE,2005,235000
KILSYTH,2005,270000
KILSYTH SOUTH,2005,344000
KINGLAKE,2005,193000
KINGS PARK,2005,212500
KINGSBURY,2005,280500
KINGSVILLE,2005,363000
KNOXFIELD,2005,285000
KOO WEE RUP,2005,217000
KOONDROOK,2005,120000
KOROIT,2005,208000
KORUMBURRA,2005,175000
KURUNJANG,2005,190000
KYABRAM,2005,175000
KYNETON,2005,214000
LAKE BOGA,2005,145000
LAKE GARDENS,2005,295500
LAKE TYERS BEACH,2005,207500
LAKE WENDOUREE,2005,362500
LAKES ENTRANCE,2005,228000
LALOR,2005,240000
LANCEFIELD,2005,220000
LANG LANG,2005,195000
LANGWARRIN,2005,250000
LARA,2005,246000
LARA LAKE,2005,265000
LAUNCHING PLACE,2005,230000
LAVERTON,2005,185500
LAVERTON SOUTH,2005,260000
LENEVA,2005,380000
LEONGATHA,2005,219000
LEOPOLD,2005,250000
LILYDALE,2005,290000
LINDENOW,2005,210000
LINTON,2005,125000
LISMORE,2005,95500
LOCH SPORT,2005,144000
LOCKINGTON,2005,135000
LONG GULLY,2005,167000
LONGWARRY,2005,185000
LORNE,2005,656500
LOVELY BANKS,2005,257000
LOWER PLENTY,2005,410000
LUCAS,2005,-
LUCKNOW,2005,205000
LYNBROOK,2005,286000
LYNDHURST,2005,360000
LYSTERFIELD,2005,345000
LYSTERFIELD SOUTH,2005,630000
MACEDON,2005,285000
MACLEOD,2005,335000
MADDINGLEY,2005,227000
MAFFRA,2005,170000
MAIDEN GULLY,2005,265000
MAIDSTONE,2005,295000
MALDON,2005,215000
MALLACOOTA,2005,271000
MALMSBURY,2005,189000
MALVERN,2005,936000
MALVERN EAST,2005,657500
MANIFOLD HEIGHTS,2005,292500
MANOR LAKES,2005,280000
MANSFIELD,2005,259500
MARIBYRNONG,2005,370500
MARONG,2005,185000
MARSHALL,2005,239500
MARYBOROUGH,2005,135000
MARYSVILLE,2005,227500
MCCRAE,2005,315000
MCKENZIE HILL,2005,255000
MCKINNON,2005,535000
MEADOW HEIGHTS,2005,232000
MELTON,2005,173000
MELTON SOUTH,2005,168500
MELTON WEST,2005,215000
MENTONE,2005,462500
MENZIES CREEK,2005,320000
MERBEIN,2005,149000
MERINDA PARK,2005,200500
MERNDA,2005,258000
MERRICKS BEACH,2005,600000
METUNG,2005,284000
MICKLEHAM,2005,350000
MIDDLE PARK,2005,917500
MILDURA,2005,190000
MILL PARK,2005,283000
MILLGROVE,2005,165500
MINERS REST,2005,230000
MINYIP,2005,34500
MIRBOO NORTH,2005,175000
MITCHAM,2005,355500
MITCHELL PARK,2005,200000
MOE,2005,118500
MOGGS CREEK,2005,460500
MONBULK,2005,250000
MONT ALBERT,2005,673500
MONT ALBERT NORTH,2005,492000
MONTMORENCY,2005,332500
MONTROSE,2005,280000
MOONEE PONDS,2005,459000
MOORABBIN,2005,384000
MOOROOLBARK,2005,277000
MOOROOPNA,2005,186000
MORDIALLOC,2005,376500
MORNINGTON,2005,314500
MORTLAKE,2005,135000
MORWELL,2005,118500
MOUNT BEAUTY,2005,158500
MOUNT CLEAR,2005,220000
MOUNT DANDENONG,2005,305000
MOUNT DUNEED,2005,-
MOUNT ELIZA,2005,490000
MOUNT EVELYN,2005,266000
MOUNT HELEN,2005,250000
MOUNT MACEDON,2005,500000
MOUNT MARTHA,2005,415000
MOUNT PLEASANT,2005,197000
MOUNT WAVERLEY,2005,425000
MULGRAVE,2005,332500
MURCHISON,2005,143000
MURRUMBEENA,2005,506500
MURTOA,2005,80000
MYRTLEFORD,2005,198000
NAGAMBIE,2005,155000
NARRE WARREN,2005,242000
NARRE WARREN NORTH,2005,362000
NARRE WARREN SOUTH,2005,283000
NATHALIA,2005,130000
NEERIM SOUTH,2005,239000
NERRINA,2005,235000
NEW GISBORNE,2005,310000
NEWBOROUGH,2005,145500
NEWCOMB,2005,189500
NEWINGTON,2005,221500
NEWLANDS ARM,2005,252000
NEWPORT,2005,386000
NEWSTEAD,2005,134000
NEWTOWN (GEELONG),2005,360500
NHILL,2005,86000
NIDDRIE,2005,392500
NOBLE PARK,2005,240500
NOBLE PARK NORTH,2005,240000
NORLANE,2005,135500
NORTH BENDIGO,2005,180000
NORTH GEELONG,2005,216000
NORTH MELBOURNE,2005,450000
NORTH WONTHAGGI,2005,203000
NORTHCOTE,2005,423500
NOTTING HILL,2005,320000
NUMURKAH,2005,162500
NUNAWADING,2005,341000
NYAH WEST,2005,139000
NYORA,2005,190000
OAK PARK,2005,340000
OAKLEIGH,2005,411000
OAKLEIGH EAST,2005,355000
OAKLEIGH SOUTH,2005,342000
OCEAN GROVE,2005,320000
OFFICER,2005,305000
OLINDA,2005,306000
ORBOST,2005,130000
ORMOND,2005,530000
OSBORNE,2005,312500
OUYEN,2005,75000
PAKENHAM,2005,232000
PARADISE BEACH,2005,154000
PARK ORCHARDS,2005,582500
PARKDALE,2005,422000
PARKVILLE,2005,850000
PASCOE VALE,2005,345000
PASCOE VALE SOUTH,2005,368000
PATTERSON GARDENS,2005,384000
PATTERSON LAKES,2005,426000
PAYNESVILLE,2005,252000
PEARCEDALE,2005,269500
PENSHURST,2005,125000
PETERBOROUGH,2005,314000
PIONEER BAY,2005,148000
PLENTY,2005,328500
PLUMPTON,2005,325000
POINT COOK,2005,318000
POINT LONSDALE,2005,510000
POREPUNKAH,2005,230000
PORT FAIRY,2005,292500
PORT MELBOURNE,2005,582500
PORTARLINGTON,2005,282000
PORTLAND,2005,178000
PORTLAND NORTH,2005,135000
PORTSEA,2005,900000
PRAHRAN,2005,595000
PRESTON,2005,345000
PRINCES HILL,2005,634000
QUARRY HILL,2005,196500
QUEENSCLIFF,2005,437500
RAINBOW,2005,60000
RAYMOND ISLAND,2005,235000
RED CLIFFS,2005,144500
RED HILL,2005,349000
REDAN,2005,175000
RESEARCH,2005,395500
RESERVOIR,2005,291000
RHYLL,2005,287500
RICHMOND,2005,507000
RIDDELLS CREEK,2005,280000
RINGWOOD,2005,310000
RINGWOOD EAST,2005,315000
RINGWOOD NORTH,2005,365000
RIPPLESIDE,2005,303000
RIPPONLEA,2005,494000
ROBINVALE,2005,142000
ROCHESTER,2005,165000
ROCKBANK,2005,197500
ROMSEY,2005,235000
ROSANNA,2005,395000
ROSEBUD,2005,236000
ROSEBUD SOUTH,2005,278500
ROSEBUD WEST,2005,237000
ROSEDALE,2005,165000
ROWVILLE,2005,341500
ROXBURGH PARK,2005,275000
RUPANYUP,2005,88000
RUSHWORTH,2005,130000
RUTHERGLEN,2005,179000
RYE,2005,275000
SAFETY BEACH,2005,400000
SAILORS GULLY,2005,182500
SALE,2005,199000
SAN REMO,2005,315000
SANCTUARY LAKES,2005,399000
SANDHURST,2005,295000
SANDRINGHAM,2005,722500
SANDY POINT,2005,252500
SASSAFRAS,2005,318500
SCORESBY,2005,280000
SEA LAKE,2005,65000
SEABROOK,2005,260000
SEAFORD,2005,250500
SEAHOLME,2005,370500
SEASPRAY,2005,141500
SEBASTOPOL,2005,182000
SEDDON,2005,353000
SELBY,2005,270000
SEVILLE,2005,253000
SEVILLE EAST,2005,215000
SEYMOUR,2005,165000
SHEPPARTON,2005,210000
SHOREHAM,2005,402500
SILVAN,2005,235500
SILVERLEAVES,2005,350000
SKENES CREEK,2005,345000
SKYE,2005,262500
SMITHS BEACH,2005,338000
SOLDIERS HILL,2005,195500
SOMERS,2005,388500
SOMERVILLE,2005,238000
SORRENTO,2005,590000
SOUTH DUDLEY,2005,187000
SOUTH GEELONG,2005,255500
SOUTH KINGSVILLE,2005,340000
SOUTH MELBOURNE,2005,648000
SOUTH MORANG,2005,318000
SOUTH YARRA,2005,791000
SPOTSWOOD,2005,342000
SPRING GULLY,2005,247500
SPRINGVALE,2005,245000
SPRINGVALE SOUTH,2005,270000
ST ALBANS,2005,220000
ST ALBANS PARK,2005,228000
ST ANDREWS BEACH,2005,310000
ST ARNAUD,2005,102500
ST HELENA,2005,411000
ST KILDA,2005,550000
ST KILDA EAST,2005,557500
ST KILDA WEST,2005,795000
ST LEONARDS,2005,249000
STANHOPE,2005,116000
STAWELL,2005,138000
STRATFORD,2005,175000
STRATHDALE,2005,260000
STRATHFIELDSAYE,2005,272500
STRATHMERTON,2005,90000
STRATHMORE,2005,525000
STRATHMORE HEIGHTS,2005,382500
STUDFIELD,2005,291000
SUNBURY,2005,244000
SUNDERLAND BAY,2005,212500
SUNSET STRIP,2005,208000
SUNSHINE,2005,240000
SUNSHINE NORTH,2005,230000
SUNSHINE WEST,2005,235000
SURF BEACH,2005,225000
SURREY HILLS,2005,650000
SWAN HILL,2005,193500
SYDENHAM,2005,266500
SYNDAL,2005,465000
TALLANGATTA,2005,160000
TANGAMBALANGA,2005,225000
TARNEIT,2005,272500
TATURA,2005,183500
TAWONGA SOUTH,2005,167000
TAYLORS HILL,2005,290000
TAYLORS LAKES,2005,320000
TECOMA,2005,276500
TEMPLESTOWE,2005,495000
TEMPLESTOWE LOWER,2005,422000
TERANG,2005,153500
THE BASIN,2005,265000
THE PATCH,2005,310000
THOMASTOWN,2005,256000
THOMSON (GEELONG),2005,184500
THORNBURY,2005,396500
TIMBOON,2005,160000
TONGALA,2005,142000
TOONGABBIE,2005,135500
TOORA,2005,162500
TOORADIN,2005,225000
TOORAK,2005,1750000
TOOTGAROOK,2005,230000
TORQUAY,2005,380000
TRAFALGAR,2005,178000
TRARALGON,2005,180000
TRARALGON EAST,2005,289000
TRAVANCORE,2005,460000
TRENTHAM,2005,200000
TRUGANINA,2005,286000
TULLAMARINE,2005,262500
TUNGAMAH,2005,117500
TYABB,2005,220000
UPPER FERNTREE GULLY,2005,275000
UPWEY,2005,270000
VENTNOR,2005,282500
VENUS BAY,2005,204000
VERMONT,2005,347000
VERMONT SOUTH,2005,401000
VIEWBANK,2005,403500
VIOLET TOWN,2005,155000
WAHGUNYAH,2005,170000
WALLAN,2005,242000
WALLAN EAST,2005,219000
WANDANA HEIGHTS,2005,383500
WANDIN NORTH,2005,230000
WANGARATTA,2005,200000
WANTIRNA,2005,320000
WANTIRNA SOUTH,2005,358500
WARBURTON,2005,205000
WARNEET,2005,222500
WARRACKNABEAL,2005,81000
WARRAGUL,2005,218000
WARRANDYTE,2005,391500
WARRANWOOD,2005,415000
WARRNAMBOOL,2005,254000
WATERWAYS,2005,493000
WATSONIA,2005,295000
WATSONIA NORTH,2005,302500
WATTLE GLEN,2005,345000
WAURN PONDS,2005,335000
WEDDERBURN,2005,80000
WENDOUREE,2005,190000
WENDOUREE WEST,2005,135000
WERRIBEE,2005,210000
WERRIBEE SOUTH,2005,390000
WESBURN,2005,205000
WEST FOOTSCRAY,2005,301500
WEST MELBOURNE,2005,400000
WEST WODONGA,2005,250000
WESTALL,2005,292500
WESTGARTH,2005,492500
WESTMEADOWS,2005,275000
WHEELERS HILL,2005,400000
WHITE HILLS,2005,197000
WHITTINGTON,2005,194000
WHITTLESEA,2005,290000
WILLIAMS LANDING,2005,290000
WILLIAMSTOWN,2005,625000
WILLIAMSTOWN NORTH,2005,409000
WIMBLEDON HEIGHTS,2005,187500
WINCHELSEA,2005,198000
WINDSOR,2005,489000
WINTER VALLEY,2005,331000
WODONGA,2005,226000
WOLLERT,2005,-
WONGA PARK,2005,450000
WONTHAGGI,2005,190000
WOODEND,2005,256000
WOOLAMAI WATERS,2005,225000
WOORI YALLOCK,2005,198000
WURRUK,2005,170000
WY YUNG,2005,395000
WYCHEPROOF,2005,56000
WYE RIVER,2005,391000
WYNDHAM VALE,2005,195000
YACKANDANDAH,2005,233000
YALLAMBIE,2005,335000
YALLOURN NORTH,2005,98500
YARRA GLEN,2005,273500
YARRA JUNCTION,2005,212500
YARRAGON,2005,185000
YARRAM,2005,160000
YARRAVILLE,2005,365000
YARRAWONGA,2005,251000
YEA,2005,208000
YINNAR,2005,155000
ABBOTSFORD,2006,448000
ABERFELDIE,2006,600000
AIREYS INLET,2006,440000
AIRPORT WEST,2006,320000
ALBANVALE,2006,210000
ALBERT PARK,2006,777000
ALBION,2006,235000
ALEXANDRA,2006,190000
ALFREDTON,2006,307500
ALLANSFORD,2006,240000
ALPHINGTON,2006,687500
ALTONA,2006,370000
ALTONA EAST,2006,310000
ALTONA MEADOWS,2006,252000
ALTONA NORTH,2006,290000
ANGLESEA,2006,410000
APOLLO BAY,2006,360000
ARARAT,2006,145000
ARDEER,2006,214500
ARMADALE,2006,900000
ARMSTRONG CREEK,2006,-
ARTHURS SEAT,2006,275000
ASCOT (BENDIGO),2006,263000
ASCOT VALE,2006,480000
ASHBURTON,2006,600000
ASHWOOD,2006,434000
ASPENDALE,2006,400000
ASPENDALE GARDENS,2006,385000
ATTWOOD,2006,359500
AVENEL,2006,190000
AVOCA,2006,130000
AVONDALE HEIGHTS,2006,330500
AVONSLEIGH,2006,270000
BACCHUS MARSH,2006,235000
BADGER CREEK,2006,215000
BAIRNSDALE,2006,200000
BALACLAVA,2006,540000
BALCOMBE,2006,453000
BALLAN,2006,202500
BALLARAT CENTRAL,2006,227500
BALLARAT EAST,2006,175000
BALLARAT NORTH,2006,208000
BALNARRING,2006,281500
BALNARRING BEACH,2006,460000
BALWYN,2006,845000
BALWYN NORTH,2006,697000
BANDIANA,2006,117000
BANNOCKBURN,2006,296000
BARANDUDA,2006,268000
BARWON HEADS,2006,420000
BAXTER,2006,207500
BAYSWATER,2006,285000
BAYSWATER NORTH,2006,285000
BEACONSFIELD,2006,360000
BEACONSFIELD UPPER,2006,339500
BEAUFORT,2006,126000
BEAUMARIS,2006,750000
BEECHWORTH,2006,265000
BELGRAVE,2006,280000
BELGRAVE HEIGHTS,2006,336000
BELGRAVE SOUTH,2006,355000
BELL PARK,2006,226000
BELL POST HILL,2006,230000
BELLBRIDGE,2006,270000
BELLFIELD (GREATER MELBOURNE),2006,305000
BELMONT,2006,245000
BENALLA,2006,206000
BENDIGO,2006,229500
BENTLEIGH,2006,535000
BENTLEIGH EAST,2006,445000
BERWICK,2006,308000
BEVERIDGE,2006,280000
BIRCHIP,2006,75000
BIRREGURRA,2006,176500
BITTERN,2006,247500
BLACK HILL,2006,204000
BLACK ROCK,2006,900000
BLACKBURN,2006,453000
BLACKBURN NORTH,2006,385000
BLACKBURN SOUTH,2006,401000
BLACKWOOD,2006,172000
BLAIRGOWRIE,2006,395000
BLIND BIGHT,2006,235000
BONBEACH,2006,416500
BONNIE DOON,2006,160000
BOOLARRA,2006,149500
BOORT,2006,127000
BORONIA,2006,282500
BOTANIC RIDGE,2006,367000
BOX HILL,2006,573000
BOX HILL NORTH,2006,417500
BOX HILL SOUTH,2006,445000
BRAYBROOK,2006,226000
BREAKWATER,2006,179500
BRIAGOLONG,2006,141000
BRIAR HILL,2006,363500
BRIDGEWATER ON LODDON,2006,235000
BRIGHT,2006,250000
BRIGHTON,2006,1242500
BRIGHTON EAST,2006,767500
BROADFORD,2006,199000
BROADMEADOWS,2006,207000
BROOKFIELD,2006,260000
BROOKLYN,2006,269000
BROWN HILL,2006,215000
BRUNSWICK,2006,425000
BRUNSWICK EAST,2006,420000
BRUNSWICK WEST,2006,418000
BULLEEN,2006,475500
BUNDALONG,2006,290000
BUNDOORA,2006,320000
BUNINYONG,2006,252500
BUNYIP,2006,255000
BURNLEY,2006,467500
BURNSIDE,2006,280000
BURNSIDE HEIGHTS,2006,285000
BURWOOD,2006,480000
BURWOOD EAST,2006,390500
CAIRNLEA,2006,335000
CALIFORNIA GULLY,2006,178000
CAMBERWELL,2006,850000
CAMPBELLFIELD,2006,245000
CAMPBELLS CREEK,2006,242500
CAMPERDOWN,2006,166000
CANADIAN,2006,195000
CANTERBURY,2006,1200000
CAPE PATERSON,2006,277000
CAPE SCHANCK,2006,431000
CARDIGAN VILLAGE,2006,206000
CARISBROOK,2006,155000
CARLTON,2006,493000
CARLTON NORTH,2006,597000
CARNEGIE,2006,575000
CAROLINE SPRINGS,2006,295000
CARRUM,2006,320500
CARRUM DOWNS,2006,240000
CASTERTON,2006,106000
CASTLEMAINE,2006,225000
CAULFIELD,2006,720000
CAULFIELD EAST,2006,502500
CAULFIELD NORTH,2006,917500
CAULFIELD SOUTH,2006,642500
CHADSTONE,2006,405000
CHARLTON,2006,91500
CHELSEA,2006,355000
CHELSEA HEIGHTS,2006,305500
CHELTENHAM,2006,440000
CHELTENHAM EAST,2006,400000
CHELTENHAM NORTH,2006,367500
CHEWTON,2006,175000
CHILTERN,2006,195000
CHIRNSIDE PARK,2006,320000
CHUM CREEK,2006,230000
CHURCHILL,2006,125000
CLARINDA,2006,330000
CLAYTON,2006,358500
CLAYTON NORTH,2006,403000
CLAYTON SOUTH,2006,313000
CLIFTON HILL,2006,532500
CLIFTON SPRINGS,2006,250000
CLUNES,2006,137000
CLYDE,2006,287500
CLYDE NORTH,2006,530000
